order_details_id,order_id,order_date,order_time,item_id,Hour,Weekday,Weeknumber,Day,Month
1,1,01-01-2023,11.38.36 AM,109,11,Sunday,1,1,January
2,2,01-01-2023,11.57.40 AM,108,11,Sunday,1,1,January
3,2,01-01-2023,11.57.40 AM,124,11,Sunday,1,1,January
4,2,01-01-2023,11.57.40 AM,117,11,Sunday,1,1,January
5,2,01-01-2023,11.57.40 AM,129,11,Sunday,1,1,January
6,2,01-01-2023,11.57.40 AM,106,11,Sunday,1,1,January
7,3,01-01-2023,12.12.28 PM,117,12,Sunday,1,1,January
8,3,01-01-2023,12.12.28 PM,119,12,Sunday,1,1,January
9,4,01-01-2023,12.16.31 PM,117,12,Sunday,1,1,January
10,5,01-01-2023,12.21.30 PM,117,12,Sunday,1,1,January
11,6,01-01-2023,12.29.36 PM,101,12,Sunday,1,1,January
12,6,01-01-2023,12.29.36 PM,114,12,Sunday,1,1,January
13,7,01-01-2023,12.50.37 PM,123,12,Sunday,1,1,January
14,8,01-01-2023,12.51.37 PM,123,12,Sunday,1,1,January
15,9,01-01-2023,12.52.01 PM,108,12,Sunday,1,1,January
16,9,01-01-2023,12.52.01 PM,126,12,Sunday,1,1,January
17,9,01-01-2023,12.52.01 PM,110,12,Sunday,1,1,January
18,9,01-01-2023,12.52.01 PM,117,12,Sunday,1,1,January
19,9,01-01-2023,12.52.01 PM,117,12,Sunday,1,1,January
20,9,01-01-2023,12.52.01 PM,129,12,Sunday,1,1,January
21,9,01-01-2023,12.52.01 PM,122,12,Sunday,1,1,January
22,9,01-01-2023,12.52.01 PM,130,12,Sunday,1,1,January
23,9,01-01-2023,12.52.01 PM,132,12,Sunday,1,1,January
24,10,01-01-2023,1.00.15 PM,129,13,Sunday,1,1,January
25,10,01-01-2023,1.00.15 PM,105,13,Sunday,1,1,January
26,11,01-01-2023,1.02.59 PM,101,13,Sunday,1,1,January
27,11,01-01-2023,1.02.59 PM,102,13,Sunday,1,1,January
28,11,01-01-2023,1.02.59 PM,102,13,Sunday,1,1,January
29,11,01-01-2023,1.02.59 PM,113,13,Sunday,1,1,January
30,12,01-01-2023,1.04.41 PM,102,13,Sunday,1,1,January
31,12,01-01-2023,1.04.41 PM,102,13,Sunday,1,1,January
32,12,01-01-2023,1.04.41 PM,104,13,Sunday,1,1,January
33,12,01-01-2023,1.04.41 PM,117,13,Sunday,1,1,January
34,13,01-01-2023,1.11.55 PM,129,13,Sunday,1,1,January
35,14,01-01-2023,1.14.19 PM,114,13,Sunday,1,1,January
36,15,01-01-2023,1.33.00 PM,107,13,Sunday,1,1,January
37,15,01-01-2023,1.33.00 PM,124,13,Sunday,1,1,January
